TEST BATCH;INSTANCE;NUMBER CUSTOMERS;GAMMAT;DEVIATIONT;RUNTIME;RESULT;RESULT DESCRIPTION;INCUMBENT;BEST BOUND;MIP ABSOLUTE GAP;MIP RELATIVE GAP
F;R211;25;0;0;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;500.9;405.3;95.6;0.1909
F;RC101;25;0;0;1.33;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;603.1;603.1;0;0
F;RC102;25;0;0;2294.43;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;572.3;572.3;0;0
F;RC103;25;0;0;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;543.8;463;80.8;0.1486
F;RC104;25;0;0;3600.05;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;517.4;433.7;83.7;0.1618
F;RC105;25;0;0;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;618.5;600.2;18.3;0.0296
F;RC106;25;0;0;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;563.5;557.4;6.1;0.0108
F;RC107;25;0;0;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;461.6;426.5;35.1;0.076
F;RC108;25;0;0;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;493.3;452.4;40.9;0.0829
F;RC201;25;0;0;3.34;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;578;578;0;0
F;RC202;25;0;0;3600.01;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;561.4;472.6;88.8;0.1582
F;RC203;25;0;0;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;511.5;297.4;214.1;0.4186
F;RC204;25;0;0;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;424.3;269.1;155.2;0.3658
F;RC205;25;0;0;17.11;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;553.7;553.7;0;0
F;RC206;25;0;0;524.25;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;515.5;515.5;0;0
F;RC207;25;0;0;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;492;360.4;131.6;0.2675
F;RC208;25;0;0;3600.05;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;383.1;252.8;130.3;0.3401
F;C101;25;1;0.1;1.31;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;303.2;303.2;0;0
F;C102;25;1;0.1;3600;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;288.7;283.3;5.4;0.0187
F;C103;25;1;0.1;3600.01;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;272.7;264.8;7.9;0.029
F;C104;25;1;0.1;3600.07;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;287.8;253.1;34.7;0.1206
F;C105;25;1;0.1;1.83;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;277.7;277.7;0;0
F;C106;25;1;0.1;1.44;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;323.8;323.8;0;0
F;C107;25;1;0.1;1.95;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;287.4;287.4;0;0
F;C108;25;1;0.1;42.81;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;322.8;322.8;0;0
F;C109;25;1;0.1;604.14;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;281.7;281.7;0;0
F;C201;25;1;0.1;1.27;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;360.3;360.3;0;0
